	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	经验不限	12-18k·12薪	2020年04月10日	软件研发工程师		北京森美希克玛生物科技有限公司	https://www.liepin.com/job/1913800136.shtml	https://www.liepin.com/company/8068766/
1	学历不限	经验不限	面议	2020年04月10日	（急）土建工程师/主管 Civil Engineer	上海-南京东路	格利资工程咨询	https://www.liepin.com/job/1913793443.shtml	https://www.liepin.com/company/7991487/
2	本科及以上	5年以上	8-15k·12薪	2020年04月10日	市场经理	临沂	山东锣响汽车制造有限公司	https://www.liepin.com/job/1913633022.shtml	https://www.liepin.com/company/9288273/
3	学历不限	3年以上	15-30k·12薪	2020年04月10日	大客户经理	上海-中山北路	地面通信息	https://www.liepin.com/job/1913448619.shtml	https://www.liepin.com/company/7855349/
4	统招本科	2年以上	面议	2020年04月10日	总部绩效管理岗	杭州-庆春路	杭州市商贸旅游集团有限公司	https://www.liepin.com/job/1913346765.shtml	https://www.liepin.com/company/9492891/
5	统招本科	5年以上	10-20k·12薪	2020年04月10日	资金经理	南京	南京朗诗寓商业管理有限公司	https://www.liepin.com/job/1913138464.shtml	https://www.liepin.com/company/9473211/
6	统招本科	5年以上	12-18k·12薪	2020年04月10日	计划运营经理	南昌	江西众森实业集团有限公司	https://www.liepin.com/job/1912763947.shtml	https://www.liepin.com/company/7948610/
7	统招本科	3年以上	面议	2020年04月10日	投资法务专员	深圳-益田村	保利达中国置地	https://www.liepin.com/job/1912651896.shtml	https://www.liepin.com/company/8042723/
8	统招本科	3年以上	9-15k·12薪	2020年04月10日	电气工程师	深圳-观澜	轴心自控	https://www.liepin.com/job/1912563465.shtml	https://www.liepin.com/company/7674188/
9	统招本科	5年以上	面议	2020年04月10日	法务总监/经理	长沙-开福区	湖南嘉德集团有限公司	https://www.liepin.com/job/1911710539.shtml	https://www.liepin.com/company/9289086/
10	大专及以上	5年以上	10-20k·12薪	2020年04月10日	高级理财师	北京	宜信公司	https://www.liepin.com/job/1911401645.shtml	https://www.liepin.com/company/891743/
