	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	3年以上	8-15k·12薪	2020年04月10日	医疗供应链客户经理	昆明	望海康信	https://www.liepin.com/job/1927346391.shtml	https://www.liepin.com/company/7995388/
1	大专及以上	7年以上	8-18k·12薪	2020年04月10日	注塑工程师	阳江	阳江纳谷	https://www.liepin.com/job/1927346135.shtml	https://www.liepin.com/company/1769363/
2	本科及以上	5年以上	24-25k·12薪	2020年04月10日	SMT 工艺工程师	上海-杨浦区	嬴彻科技	https://www.liepin.com/job/1927346041.shtml	https://www.liepin.com/company/9671797/
3	本科及以上	3年以上	30-55k·12薪	2020年04月10日	反欺诈策略专家		哈尔滨哈银消费金融有限责任公司	https://www.liepin.com/job/1927345503.shtml	https://www.liepin.com/company/8960574/
4	本科及以上	5年以上	10-13k·13薪	2020年04月10日	Java微服务开发	长春	恩梯梯数据(中国)	https://www.liepin.com/job/1927345471.shtml	https://www.liepin.com/company/6629285/
5	学历不限	2年以上	15-20k·12薪	2020年04月10日	抖音短视频运营	杭州-江干区	杭州您乐文化创意有限公司	https://www.liepin.com/job/1927344467.shtml	https://www.liepin.com/company/9616504/
6	本科及以上	8年以上	面议	2020年04月10日	研发副总经理（研究院院长）	武汉-武昌区	武汉一半天医药有限公司	https://www.liepin.com/job/1927344113.shtml	https://www.liepin.com/company/8634682/
7	统招本科	1年以上	7-10k·13薪	2020年04月10日	大客户销售经理	佛山	深圳市筑泰防务智能科技有限公司	https://www.liepin.com/job/1927343743.shtml	https://www.liepin.com/company/9415022/
8	本科及以上	2年以上	4-6k·12薪	2020年04月10日	化学、历史、物理及理科类编辑	郑州-北林路	河南天一文化传播股份有限公司	https://www.liepin.com/job/1927343187.shtml	https://www.liepin.com/company/9802273/
9	本科及以上	2年以上	7-10k·13薪	2020年04月10日	大客户销售经理	广州-天河北	深圳市筑泰防务智能科技有限公司	https://www.liepin.com/job/1927343117.shtml	https://www.liepin.com/company/9415022/
10	统招本科	2年以上	8-20k·13薪	2020年04月10日	水处理工艺工程师1	上海-青浦区	美吕净水技术(上海)有限公司	https://www.liepin.com/job/1927342145.shtml	https://www.liepin.com/company/9560076/
11	大专及以上	3年以上	面议	2020年04月10日	行销经理	青岛	青岛新希望琴牌乳业有限公司	https://www.liepin.com/job/1927341843.shtml	https://www.liepin.com/company/8249835/
12	大专及以上	2年以上	15-35k·12薪	2020年04月10日	销售区长/经理	杭州-滨江区	ABC360	https://www.liepin.com/job/1927341521.shtml	https://www.liepin.com/company/8110594/
13	大专及以上	6年以上	面议	2020年04月10日	工程造价经理	上海	德力西控股	https://www.liepin.com/job/1927341153.shtml	https://www.liepin.com/company/1940980/
14	大专及以上	1年以上	9-12k·12薪	2020年04月10日	研究员	深圳-福田区	深圳市世鹏资产评估房地产土地估价顾问有限公司	https://www.liepin.com/job/1927340985.shtml	https://www.liepin.com/company/9294100/
15	大专及以上	3年以上	5-10k·12薪	2020年04月10日	工艺工程师	重庆	重庆明天机械有限公司	https://www.liepin.com/job/1927340697.shtml	https://www.liepin.com/company/8708238/
16	统招本科	3年以上	20-40k·12薪	2020年04月10日	数据分析岗		哈尔滨哈银消费金融有限责任公司	https://www.liepin.com/job/1927340275.shtml	https://www.liepin.com/company/8960574/
17	大专及以上	经验不限	8-10k·12薪	2020年04月10日	教育咨询师、课程顾问（洛阳）	洛阳	郑州优实力教育咨询有限公司	https://www.liepin.com/job/1927340145.shtml	https://www.liepin.com/company/10026575/
18	本科及以上	10年以上	面议	2020年04月10日	审计总监	郑州-郑东新区	河南展图置业有限公司	https://www.liepin.com/job/1927339229.shtml	https://www.liepin.com/company/10025213/
19	统招本科	1年以上	面议	2020年04月10日	渠道销售工程师	南京-江宁区	南京博惠科学仪器有限公司	https://www.liepin.com/job/1927339145.shtml	https://www.liepin.com/company/9902791/
20	大专及以上	经验不限	5-10k·12薪	2020年04月10日	销售工程师	南京-江宁区	南京博惠科学仪器有限公司	https://www.liepin.com/job/1927338927.shtml	https://www.liepin.com/company/9902791/
21	统招本科	3年以上	8-13k·12薪	2020年04月10日	外贸业务（电力EPC行业，可适应短期国外出差）	济南-高新区	中圣科技(江苏)有限公司	https://www.liepin.com/job/1927338783.shtml	https://www.liepin.com/company/8688586/
22	大专及以上	3年以上	8-12k·12薪	2020年04月10日	Senior Distribution/物流分销（苏州）	苏州-工业园区	美国维益食品	https://www.liepin.com/job/1927338325.shtml	https://www.liepin.com/company/7949052/
23	大专及以上	经验不限	5-6k·12薪	2020年04月10日	助理工程师	中山	中山市东菱照明科技有限公司	https://www.liepin.com/job/1927337937.shtml	https://www.liepin.com/company/10244973/
24	大专及以上	经验不限	5-8k·13薪	2020年04月10日	前台接待	宁波	得力房地产	https://www.liepin.com/job/1927337807.shtml	https://www.liepin.com/company/3840943/
25	本科及以上	3年以上	7-10k·13薪	2020年04月10日	电气工程师	常州	常州佰承复合材料有限公司	https://www.liepin.com/job/1927332219.shtml	https://www.liepin.com/company/12172315/
26	统招本科	3年以上	20-30k·12薪	2020年04月10日	AGV嵌入式开发工程师	深圳-龙岗区	深圳市筑裕新科技发展有限公司	https://www.liepin.com/job/1927328609.shtml	https://www.liepin.com/company/9153041/
27	统招本科	3年以上	20-35k·12薪	2020年04月10日	混合云管解决方案工程师	北京	电科云(北京)科技有限公司	https://www.liepin.com/job/1927324109.shtml	https://www.liepin.com/company/9986013/
28	大专及以上	5年以上	8-12k·12薪	2020年04月10日	拼多多电商运营总监	太原	山西嘉世达机器人技术有限公司	https://www.liepin.com/job/1927318463.shtml	https://www.liepin.com/company/8687125/
29	大专及以上	1年以上	8-15k·12薪	2020年04月10日	销售	上海-江湾	上海优之元商务咨询有限公司	https://www.liepin.com/job/1927312185.shtml	https://www.liepin.com/company/12177239/
30	硕士及以上	2年以上	15-20k·12薪	2020年04月10日	人力资源经理	广州	南方传媒	https://www.liepin.com/job/1927306603.shtml	https://www.liepin.com/company/5576863/
31	大专及以上	1年以上	4-5k·12薪	2020年04月10日	外贸业务助理	佛山	广东信华电器有限公司	https://www.liepin.com/job/1927306465.shtml	https://www.liepin.com/company/9413667/
32	统招本科	5年以上	10-20k·12薪	2020年04月10日	财务经理	惠州	金百泽	https://www.liepin.com/job/1927306267.shtml	https://www.liepin.com/company/1758908/
33	统招本科	3年以上	15-25k·13薪	2020年04月10日	招聘经理	北京	朴新教育	https://www.liepin.com/job/1927306211.shtml	https://www.liepin.com/company/8786954/
34	统招本科	5年以上	20-30k·12薪	2020年04月10日	综合管理经理	郑州-金水区	河南梅隆实业有限公司	https://www.liepin.com/job/1927306117.shtml	https://www.liepin.com/company/9295269/
35	本科及以上	5年以上	15-25k·14薪	2020年04月10日	高级Python工程师	广州	广东中思拓大数据研究院有限公司	https://www.liepin.com/job/1927302557.shtml	https://www.liepin.com/company/12200883/
36	大专及以上	2年以上	面议	2020年04月10日	客户服务工程师 - 渠道	上海-徐家汇	捷德太平洋设备(上海)有限公司	https://www.liepin.com/job/1927301093.shtml	https://www.liepin.com/company/10239217/
37	本科及以上	5年以上	16-25k·12薪	2020年04月10日	软件售前工程师	广州-天河区	创能科技	https://www.liepin.com/job/1927297737.shtml	https://www.liepin.com/company/7992349/
38	大专及以上	5年以上	4-6k·12薪	2020年04月10日	房产销售主管（置业顾问组长）	杭州	杭州华元房地产	https://www.liepin.com/job/1927296205.shtml	https://www.liepin.com/company/7864151/
39	大专及以上	1年以上	8-10k·12薪	2020年04月10日	汽车销售顾问	天津	天津天杭汽车工业贸易有限公司	https://www.liepin.com/job/1927296179.shtml	https://www.liepin.com/company/10108667/
