	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	统招本科	5年以上	13-18k·14薪	2020年04月10日	场道职员或副经理		远东控股集团	https://www.liepin.com/job/1919851771.shtml	https://www.liepin.com/company/2892805/
1	统招本科	经验不限	8-15k·12薪	2020年04月10日	董事长秘书	广州	广州市置力投资集团有限公司	https://www.liepin.com/job/1919850611.shtml	https://www.liepin.com/company/10003323/
2	大专及以上	经验不限	8-12k·12薪	2020年04月10日	教育咨询师（高薪、7家校区）	郑州-金水区	郑州优实力教育咨询有限公司	https://www.liepin.com/job/1919809471.shtml	https://www.liepin.com/company/10026575/
3	本科及以上	5年以上	10-20k·12薪	2020年04月10日	营销经理（内蒙古、东北区域）	呼和浩特	特变电工新能源	https://www.liepin.com/job/1919649057.shtml	https://www.liepin.com/company/7953390/
4	大专及以上	3年以上	8-15k·12薪	2020年04月10日	项目经理	温州	瑞明工业	https://www.liepin.com/job/1919509679.shtml	https://www.liepin.com/company/8104011/
5	统招本科	1年以上	8-11k·13薪	2020年04月10日	资深文案	广州-天河区	广州上之商业股份有限公司(品牌：单农)	https://www.liepin.com/job/1919401099.shtml	https://www.liepin.com/company/8069501/
6	本科及以上	3年以上	8-10k·14薪	2020年04月10日	市场专员/Marketing officer	武汉-蔡甸区	牧野汽车装备(武汉)有限公司	https://www.liepin.com/job/1919349337.shtml	https://www.liepin.com/company/9930625/
7	大专及以上	2年以上	面议	2020年04月10日	.net软件开发工程师/软件开发工程师	南京	艾德克斯电子(南京)有限公司	https://www.liepin.com/job/1919276627.shtml	https://www.liepin.com/company/7925874/
8	大专及以上	3年以上	面议	2020年04月10日	生产主管	上海	上海微创心通医疗科技有限公司	https://www.liepin.com/job/1919242117.shtml	https://www.liepin.com/company/9494398/
9	本科及以上	2年以上	面议	2020年04月10日	硬件工程师	东莞-莞城区	东莞市凯福机电有限公司	https://www.liepin.com/job/1919175519.shtml	https://www.liepin.com/company/9997129/
10	大专及以上	经验不限	8-10k·12薪	2020年04月10日	销售工程师（东莞）	东莞	东莞市凯福机电有限公司	https://www.liepin.com/job/1919062899.shtml	https://www.liepin.com/company/9997129/
11	本科及以上	经验不限	5-6k·12薪	2020年04月10日	供应商质量工程师	杭州	杭州福斯特	https://www.liepin.com/job/1918835529.shtml	https://www.liepin.com/company/9497194/
12	本科及以上	3年以上	6-8k·12薪	2020年04月10日	人事主管	北京	合众传播	https://www.liepin.com/job/1918816671.shtml	https://www.liepin.com/company/5278891/
13	统招本科	5年以上	面议	2020年04月10日	室内设计总监	深圳-南山区	深圳市兰兹酒店管理有限公司	https://www.liepin.com/job/1918805267.shtml	https://www.liepin.com/company/9706919/
14	大专及以上	3年以上	面议	2020年04月10日	软件销售经理	上海-漕河泾	上海麦汇信息科技有限公司	https://www.liepin.com/job/1918767511.shtml	https://www.liepin.com/company/8976049/
15	大专及以上	5年以上	25-35k·12薪	2020年04月10日	策划总监	北京	映盛中国	https://www.liepin.com/job/1918567637.shtml	https://www.liepin.com/company/9478865/
16	大专及以上	3年以上	8-10k·12薪	2020年04月10日	集团采购工程师	东莞-松山湖	万润科技	https://www.liepin.com/job/1918310753.shtml	https://www.liepin.com/company/1527296/
17	统招本科	3年以上	10-15k·13薪	2020年04月10日	FAE工程师	深圳	珠海普林芯驰科技有限公司	https://www.liepin.com/job/1918207367.shtml	https://www.liepin.com/company/9626894/
18	本科及以上	经验不限	5-8k·12薪	2020年04月10日	采购工程师	杭州	杭州福斯特	https://www.liepin.com/job/1918168471.shtml	https://www.liepin.com/company/9497194/
19	硕士及以上	5年以上	面议	2020年04月10日	科研服务-大区经理-北京		北京博奥晶典生物技术有限公司	https://www.liepin.com/job/1918152375.shtml	https://www.liepin.com/company/8025570/
20	统招本科	3年以上	14-28k·12薪	2020年04月10日	产品经理	上海	华锐金融技术	https://www.liepin.com/job/1917881289.shtml	https://www.liepin.com/company/9289404/
21	统招本科	经验不限	6-8k·12薪	2020年04月10日	基金运营		北京方圆金鼎投资管理有限公司	https://www.liepin.com/job/1917631555.shtml	https://www.liepin.com/company/9267628/
