	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
22	统招本科	3年以上	面议	2020年04月10日	软件工程师	苏州	珂纳医疗科技(苏州)有限公司	https://www.liepin.com/job/1917474055.shtml	https://www.liepin.com/company/8122169/
23	学历不限	经验不限	12-15k·12薪	2020年04月10日	质量主管		北京博宇半导体工艺器皿技术有限公司	https://www.liepin.com/job/1917353005.shtml	https://www.liepin.com/company/9353894/
24	本科及以上	3年以上	15-25k·12薪	2020年04月10日	资深软件开发工程师C++/Jav...	南京	趋势科技	https://www.liepin.com/job/1916753675.shtml	https://www.liepin.com/company/8026991/
25	统招本科	3年以上	面议	2020年04月10日	管理会计高专	厦门-莲前	厦门钨业	https://www.liepin.com/job/1916736857.shtml	https://www.liepin.com/company/7931578/
26	大专及以上	3年以上	10-15k·13薪	2020年04月10日	平面设计主管/视觉主管（服饰）	广州-嘉禾	衣酷集团	https://www.liepin.com/job/1916231663.shtml	https://www.liepin.com/company/7905352/
27	本科及以上	8年以上	面议	2020年04月10日	财务总监	深圳-盐田区	深圳中萃企业管理有限公司	https://www.liepin.com/job/1916041461.shtml	https://www.liepin.com/company/9734520/
28	本科及以上	2年以上	10-20k·12薪	2020年04月10日	私行理财规划师	天津	宜信公司	https://www.liepin.com/job/1915831255.shtml	https://www.liepin.com/company/891743/
29	统招本科	5年以上	面议	2020年04月10日	资金经理	上海	南京朗诗寓商业管理有限公司	https://www.liepin.com/job/1915637224.shtml	https://www.liepin.com/company/9473211/
30	学历不限	经验不限	10-20k·12薪	2020年04月10日	射频电路设计师	广州	海格通信广州公司	https://www.liepin.com/job/1915408437.shtml	https://www.liepin.com/company/8840878/
31	统招本科	5年以上	30-40k·12薪	2020年04月10日	地产成都区域营销经理	成都	正荣	https://www.liepin.com/job/1915180811.shtml	https://www.liepin.com/company/7854658/
32	统招本科	经验不限	8-11k·12薪	2020年04月10日	融资助理	杭州-火车东站	北京方圆金鼎投资管理有限公司	https://www.liepin.com/job/1915124968.shtml	https://www.liepin.com/company/9267628/
33	统招本科	8年以上	10-20k·12薪	2020年04月10日	贵宾团队经理(10000129)	天津-小白楼	宜信公司	https://www.liepin.com/job/1914927767.shtml	https://www.liepin.com/company/891743/
34	本科及以上	2年以上	5-10k·13薪	2020年04月10日	研发分析员（QR）	台州	海翔药业	https://www.liepin.com/job/1914771981.shtml	https://www.liepin.com/company/2694358/
35	本科及以上	3年以上	5-6k·12薪	2020年04月10日	助理咨询师	深圳-福田区	深圳市康达信房地产管理顾问有限公司	https://www.liepin.com/job/1914645722.shtml	https://www.liepin.com/company/7903540/
36	本科及以上	5年以上	10-15k·13薪	2020年04月10日	HRBP	杭州-余杭区	晶盛机电	https://www.liepin.com/job/1914463012.shtml	https://www.liepin.com/company/8634578/
37	大专及以上	1年以上	6-10k·12薪	2020年04月10日	客服专员-上海-00232	上海-张江	领健信息	https://www.liepin.com/job/1914084016.shtml	https://www.liepin.com/company/8662600/
38	中专/中技及以上	2年以上	6-8k·12薪	2020年04月10日	ME工程师	宁波-慈溪	宏一集团有限公司	https://www.liepin.com/job/1914042309.shtml	https://www.liepin.com/company/8111414/
39	大专及以上	2年以上	4-7k·14薪	2020年04月10日	仓库管理员	成都	成都百施特金刚石钻头有限公司	https://www.liepin.com/job/1913959376.shtml	https://www.liepin.com/company/9188129/
