	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	6年以上	35-45k·15薪	2020年04月10日	金融产品副总监	上海-浦东新区	你我贷	https://www.liepin.com/job/1924311567.shtml	https://www.liepin.com/company/8639190/
1	本科及以上	5年以上	15-25k·12薪	2020年04月10日	贵宾团队经理	天津	宜信公司	https://www.liepin.com/job/1924296461.shtml	https://www.liepin.com/company/891743/
2	统招本科	5年以上	8-12k·12薪	2020年04月10日	技术部长	常德	常德思高技术有限公司	https://www.liepin.com/job/1924249155.shtml	https://www.liepin.com/company/9239754/
3	本科及以上	3年以上	面议	2020年04月10日	Verification Engineer	上海-徐家汇	锐开(北京)科技有限公司	https://www.liepin.com/job/1924179061.shtml	https://www.liepin.com/company/9601624/
4	大专及以上	5年以上	25-40k·12薪	2020年04月10日	销售总监	广州-增城区	香港皇朝傢俬集团有限公司	https://www.liepin.com/job/1924113685.shtml	https://www.liepin.com/company/10082497/
5	学历不限	3年以上	10-15k·16薪	2020年04月10日	0921IB-医疗网络拓展岗	上海	平安健康保险	https://www.liepin.com/job/1924088635.shtml	https://www.liepin.com/company/3460894/
6	本科及以上	4年以上	20-40k·12薪	2020年04月10日	产品经理（大数据、信用）	北京	数知科技	https://www.liepin.com/job/1923959187.shtml	https://www.liepin.com/company/9765593/
7	本科及以上	2年以上	8-13k·13薪	2020年04月10日	新媒体运营策划	上海	亚廷营销策划(上海)有限公司	https://www.liepin.com/job/1923942519.shtml	https://www.liepin.com/company/10114827/
8	本科及以上	3年以上	9-11k·13薪	2020年04月10日	产品经理	杭州-余杭区	杭州广茂户外用品有限公司	https://www.liepin.com/job/1923932703.shtml	https://www.liepin.com/company/9707437/
9	大专及以上	1年以上	6-9k·13薪	2020年04月10日	业务跟单	上海-浦东新区	玉龙股份	https://www.liepin.com/job/1923859619.shtml	https://www.liepin.com/company/7921978/
10	本科及以上	5年以上	10-15k·12薪	2020年04月10日	高级理财师	大连	宜信公司	https://www.liepin.com/job/1923644279.shtml	https://www.liepin.com/company/891743/
11	统招本科	5年以上	12-18k·12薪	2020年04月10日	品牌经理	广州-官洲	美环健芦荟制品	https://www.liepin.com/job/1923621795.shtml	https://www.liepin.com/company/7894719/
12	大专及以上	3年以上	面议	2020年04月10日	大客户经理（食品工业原料）	广州-昌岗	上海欣融食品原料有限公司	https://www.liepin.com/job/1923553641.shtml	https://www.liepin.com/company/9764327/
13	统招本科	8年以上	25-35k·12薪	2020年04月10日	安全主任	深圳-大冲	创维集团建设发展有限公司	https://www.liepin.com/job/1923465319.shtml	https://www.liepin.com/company/10010511/
14	统招本科	5年以上	10-20k·12薪	2020年04月10日	营销经理/高级营销经理（四川、云南、贵阳、西藏、海南、广西）	成都	特变电工新能源	https://www.liepin.com/job/1923429175.shtml	https://www.liepin.com/company/7953390/
15	统招本科	3年以上	6-15k·12薪	2020年04月10日	产品设计工程师	长沙	湖南机油泵	https://www.liepin.com/job/1923406449.shtml	https://www.liepin.com/company/8279005/
16	本科及以上	5年以上	15-20k·12薪	2020年04月10日	Embedded Software Engineer	上海-浦东新区	艾本德(上海)国际贸易有限公司	https://www.liepin.com/job/1923309525.shtml	https://www.liepin.com/company/7970573/
17	本科及以上	5年以上	15-20k·12薪	2020年04月10日	Mechanical Engineer	上海-浦东新区	艾本德(上海)国际贸易有限公司	https://www.liepin.com/job/1923309319.shtml	https://www.liepin.com/company/7970573/
18	本科及以上	8年以上	30-50k·12薪	2020年04月10日	税务筹划总监		万新控股集团	https://www.liepin.com/job/1923280277.shtml	https://www.liepin.com/company/8170645/
19	统招本科	5年以上	面议	2020年04月10日	高级核保顾问（财产险、工程险）	重庆-菜园坝	利宝保险有限公司	https://www.liepin.com/job/1923131307.shtml	https://www.liepin.com/company/7902387/
20	大专及以上	3年以上	5-8k·12薪	2020年04月10日	资料员-五险一金	郑州-中原区	河南鼎岳建筑工程有限公司	https://www.liepin.com/job/1922745693.shtml	https://www.liepin.com/company/9773217/
21	大专及以上	3年以上	4-8k·12薪	2020年04月10日	质检工程师-五险一金	郑州-中原区	河南鼎岳建筑工程有限公司	https://www.liepin.com/job/1922745391.shtml	https://www.liepin.com/company/9773217/
22	大专及以上	3年以上	8-10k·14薪	2020年04月10日	土建工程师	杭州-临安区	杭州福斯特	https://www.liepin.com/job/1922720845.shtml	https://www.liepin.com/company/9497194/
23	统招本科	1年以上	面议	2020年04月10日	金融市场岗	天津-滨海新区	天津临港国际融资租赁有限公司	https://www.liepin.com/job/1922550359.shtml	https://www.liepin.com/company/8608506/
24	统招本科	经验不限	6-8k·13薪	2020年04月10日	人事助理		北京方圆金鼎投资管理有限公司	https://www.liepin.com/job/1922216209.shtml	https://www.liepin.com/company/9267628/
25	大专及以上	8年以上	16-25k·12薪	2020年04月10日	售后总监	青岛	青岛绿洲创智科技信息有限公司	https://www.liepin.com/job/1921650873.shtml	https://www.liepin.com/company/9360915/
26	本科及以上	5年以上	15-30k·12薪	2020年04月10日	建筑设计师	南通-海门	江苏龙信置业有限公司	https://www.liepin.com/job/1921449491.shtml	https://www.liepin.com/company/9911871/
27	大专及以上	经验不限	7-9k·13薪	2020年04月10日	产品设计师	杭州-余杭区	杭州广茂户外用品有限公司	https://www.liepin.com/job/1921409703.shtml	https://www.liepin.com/company/9707437/
28	大专及以上	3年以上	10-15k·12薪	2020年04月10日	土建采购工程师	深圳-人民南	深圳市鹏鑫建筑工程有限公司	https://www.liepin.com/job/1921259319.shtml	https://www.liepin.com/company/10029859/
29	大专及以上	经验不限	8-13k·12薪	2020年04月10日	安全主任/安全员	深圳	深圳市鹏鑫建筑工程有限公司	https://www.liepin.com/job/1921257299.shtml	https://www.liepin.com/company/10029859/
30	统招本科	5年以上	10-20k·12薪	2020年04月10日	开发经理/高级开发经理（湖北、河北、天津）	武汉-崇仁	特变电工新能源	https://www.liepin.com/job/1921200893.shtml	https://www.liepin.com/company/7953390/
31	本科及以上	经验不限	7-8k·13薪	2020年04月10日	储备干部		创挚管理咨询(上海)有限公司	https://www.liepin.com/job/1920655957.shtml	https://www.liepin.com/company/10041091/
32	大专及以上	1年以上	4-8k·12薪	2020年04月10日	平面设计师	潍坊	潍坊傲世无双广告策划有限公司	https://www.liepin.com/job/1920449831.shtml	https://www.liepin.com/company/10064227/
