	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	2年以上	6-8k·12薪	2020年04月10日	实验室专员	上海	上海嘉亨日用化学品有限公司	https://www.liepin.com/job/1927295587.shtml	https://www.liepin.com/company/7958409/
1	大专及以上	3年以上	10-15k·12薪	2020年04月10日	CRO销售	南京-栖霞区	美药星(南京)制药有限公司	https://www.liepin.com/job/1927293443.shtml	https://www.liepin.com/company/9296589/
2	本科及以上	1年以上	8-15k·12薪	2020年04月10日	品牌策划经理	北京	《财经》全媒体	https://www.liepin.com/job/1927293005.shtml	https://www.liepin.com/company/8458642/
3	统招本科	经验不限	10-15k·13薪	2020年04月10日	招商主管	上海-长宁区	上海德必文化创意产业发展(集团)股份有限公司	https://www.liepin.com/job/1927292385.shtml	https://www.liepin.com/company/8488821/
4	本科及以上	经验不限	6-8k·12薪	2020年04月10日	业务员	宜昌	宜昌七朵云环境治理有限公司	https://www.liepin.com/job/1927291929.shtml	https://www.liepin.com/company/10269059/
5	统招本科	5年以上	20-30k·13薪	2020年04月10日	资金总监	上海-奉贤区	上海金都投资集团有限公司	https://www.liepin.com/job/1927288287.shtml	https://www.liepin.com/company/8077948/
6	学历不限	1年以上	5-15k·12薪	2020年04月10日	区域主管	金华	浙江拓朴清洁科技有限公司	https://www.liepin.com/job/1927287805.shtml	https://www.liepin.com/company/12145149/
7	大专及以上	3年以上	8-10k·12薪	2020年04月10日	渠道销售经理	常州-新北区	麦金太尔(上海)空调有限公司	https://www.liepin.com/job/1927286371.shtml	https://www.liepin.com/company/10200111/
8	统招本科	5年以上	13-18k·14薪	2020年04月10日	机场场道技术员（施工技术标书）		远东控股集团	https://www.liepin.com/job/1927286259.shtml	https://www.liepin.com/company/2892805/
9	本科及以上	2年以上	10-15k·12薪	2020年04月10日	PR Specialist	上海-静安区	卡索多丽娅贸易(上海)有限公司	https://www.liepin.com/job/1927284221.shtml	https://www.liepin.com/company/9094662/
10	本科及以上	5年以上	面议	2020年04月10日	Product Specialist-C&A 自动化及控制产品工程师	天津	久益环球(天津)装备制造有限公司	https://www.liepin.com/job/1927279985.shtml	https://www.liepin.com/company/10220143/
