	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	10年以上	25-30k·12薪	2020年04月10日	工程管理中心总监	深圳-福田区	深圳安星建设集团有限公司	https://www.liepin.com/job/1927250195.shtml	https://www.liepin.com/company/10107425/
1	统招本科	5年以上	面议	2020年04月10日	Sales Manager	常州	锐课企业管理咨询(上海)有限公司	https://www.liepin.com/job/1927250185.shtml	https://www.liepin.com/company/9636151/
2	本科及以上	10年以上	20-40k·12薪	2020年04月10日	总经理（大宗商品）	长沙	湖南嘉德集团有限公司	https://www.liepin.com/job/1927247125.shtml	https://www.liepin.com/company/9289086/
3	本科及以上	10年以上	20-40k·12薪	2020年04月10日	总经理（大宗商品）	广州	湖南嘉德集团有限公司	https://www.liepin.com/job/1927247123.shtml	https://www.liepin.com/company/9289086/
4	大专及以上	3年以上	8-12k·12薪	2020年04月10日	仓储运营经理（生鲜仓、DC仓）	佛山	佛山顺德国通物流城有限公司	https://www.liepin.com/job/1927245939.shtml	https://www.liepin.com/company/8093316/
5	统招本科	6年以上	15-25k·16薪	2020年04月10日	干部管理经理	深圳	华星光电	https://www.liepin.com/job/1927228767.shtml	https://www.liepin.com/company/671058/
6	本科及以上	6年以上	面议	2020年04月10日	Test & Validation Engineer	上海	科尔帕默实验设备(上海)有限公司	https://www.liepin.com/job/1927223361.shtml	https://www.liepin.com/company/8740835/
7	统招本科	3年以上	8-16k·12薪	2020年04月10日	人力行政主管	深圳-南山区	深圳市天健地产集团有限公司	https://www.liepin.com/job/1927217781.shtml	https://www.liepin.com/company/9542952/
8	统招本科	5年以上	15-25k·12薪	2020年04月10日	高级产品企划	中山	华帝股份	https://www.liepin.com/job/1927216631.shtml	https://www.liepin.com/company/7925053/
9	硕士及以上	2年以上	10-18k·16薪	2020年04月10日	资深机理工程师	珠海-斗门区	珠海冠宇电池有限公司	https://www.liepin.com/job/1927212893.shtml	https://www.liepin.com/company/8038231/
10	本科及以上	6年以上	面议	2020年04月10日	Cost Engineer (钦州项目)	钦州	苏伊士(上海)环境服务有限公司	https://www.liepin.com/job/1927211395.shtml	https://www.liepin.com/company/10005647/
11	大专及以上	3年以上	30-60k·12薪	2020年04月10日	心理咨询师	上海-松江区	上海戒成健康咨询有限公司	https://www.liepin.com/job/1927202691.shtml	https://www.liepin.com/company/12193883/
12	本科及以上	3年以上	面议	2020年04月10日	售后主管	济南	广东奥马冰箱有限公司	https://www.liepin.com/job/1927199191.shtml	https://www.liepin.com/company/8785568/
13	本科及以上	10年以上	45-60k·14薪	2020年04月10日	内审总监	上海	你我贷	https://www.liepin.com/job/1927191495.shtml	https://www.liepin.com/company/8639190/
