	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	5年以上	15-30k·12薪	2020年04月10日	区域运营经理（公寓）	上海-长宁区	上海城方租赁住房运营管理有限公司	https://www.liepin.com/job/1927237849.shtml	https://www.liepin.com/company/9622555/
1	大专及以上	3年以上	面议	2020年04月10日	直销业务主管	南京	辉柏嘉(广州)文具有限公司	https://www.liepin.com/job/1927231471.shtml	https://www.liepin.com/company/8094471/
2	硕士及以上	1年以上	14-24k·12薪	2020年04月10日	市场经理（深圳）	深圳-龙华区	联合信用投资咨询有限公司	https://www.liepin.com/job/1927204577.shtml	https://www.liepin.com/company/9811191/
3	统招本科	经验不限	6-8k·13薪	2020年04月10日	行政专员	上海-浦东新区	上海原思标物科技有限公司	https://www.liepin.com/job/1927181975.shtml	https://www.liepin.com/company/9876559/
4	大专及以上	2年以上	8-10k·12薪	2020年04月10日	销售业务员（中学产品方向）	郑州-北林路	河南天一文化传播股份有限公司	https://www.liepin.com/job/1927171723.shtml	https://www.liepin.com/company/9802273/
5	统招本科	10年以上	面议	2020年04月10日	苏宁环球集团—人力资源管理岗（总经理级）	南京	苏宁环球集团	https://www.liepin.com/job/1927165735.shtml	https://www.liepin.com/company/8369344/
6	统招本科	1年以上	面议	2020年04月10日	FAE现场应用工程师（工业产品线）	北京-五道口	深圳市新蕾电子有限公司	https://www.liepin.com/job/1927165661.shtml	https://www.liepin.com/company/9226509/
7	大专及以上	3年以上	面议	2020年04月10日	玛氏箭牌-区域销售助理经理-唐山	唐山	玛氏中国	https://www.liepin.com/job/1927127763.shtml	https://www.liepin.com/company/8641622/
8	本科及以上	3年以上	10-20k·12薪	2020年04月10日	税酬营销经理/总监	上海	甬民投	https://www.liepin.com/job/1926950435.shtml	https://www.liepin.com/company/9216077/
9	本科及以上	10年以上	25-35k·13薪	2020年04月10日	Sales Manager华东区销售经理	上海	艾可爱尔(中国)销售服务有限公司	https://www.liepin.com/job/1926885267.shtml	https://www.liepin.com/company/8821227/
10	统招本科	8年以上	10-20k·13薪	2020年04月10日	PIE高级工程师	惠州	深圳市创荣发电子有限公司	https://www.liepin.com/job/1926864607.shtml	https://www.liepin.com/company/8224555/
11	统招本科	5年以上	15-18k·13薪	2020年04月10日	品牌管理经理	北京	优扬文化传媒	https://www.liepin.com/job/1926821049.shtml	https://www.liepin.com/company/722556/
12	大专及以上	5年以上	10-15k·12薪	2020年04月10日	焊接工艺工程师	宁波	宁波吉盛电器有限公司	https://www.liepin.com/job/1926788753.shtml	https://www.liepin.com/company/3723797/
13	统招本科	3年以上	16-40k·12薪	2020年04月10日	软件开发工程师	上海-浦东新区	上海清申科技发展有限公司	https://www.liepin.com/job/1926781275.shtml	https://www.liepin.com/company/9918897/
14	大专及以上	5年以上	9-12k·13薪	2020年04月10日	Web前端开发工程师	沈阳	沈阳创思佳业科技有限公司	https://www.liepin.com/job/1926708699.shtml	https://www.liepin.com/company/1392726/
15	统招本科	3年以上	8-10k·12薪	2020年04月10日	财务主管	深圳-宝安区	诺普信	https://www.liepin.com/job/1926666211.shtml	https://www.liepin.com/company/957442/
16	本科及以上	5年以上	14-25k·12薪	2020年04月10日	高级客户经理	广州-花都区	大业信托	https://www.liepin.com/job/1926655641.shtml	https://www.liepin.com/company/7921192/
