	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
17	大专及以上	5年以上	20-40k·12薪	2020年04月10日	中心主任/校长	广州-东风东	智慧青少年宫	https://www.liepin.com/job/1926605883.shtml	https://www.liepin.com/company/10020745/
18	大专及以上	经验不限	面议	2020年04月10日	区域经理（江西省）	南昌	北京一担粮酒庄有限公司	https://www.liepin.com/job/1926589779.shtml	https://www.liepin.com/company/8126698/
19	本科及以上	3年以上	面议	2020年04月10日	融资总监	深圳-南山区	深圳市兴鸿嘉投资有限公司	https://www.liepin.com/job/1926584243.shtml	https://www.liepin.com/company/10189137/
20	中专/中技及以上	1年以上	5-10k·12薪	2020年04月10日	区域经理	佛山-顺德区	佛山易涂得装饰材料有限公司	https://www.liepin.com/job/1926538865.shtml	https://www.liepin.com/company/9284461/
21	统招本科	3年以上	面议	2020年04月10日	硬件开发工程师	上海	重塑能源	https://www.liepin.com/job/1926497503.shtml	https://www.liepin.com/company/8864326/
22	本科及以上	5年以上	15-30k·12薪	2020年04月10日	船舶总体工程师	上海-城隍庙	北京国科环宇科技股份有限公司	https://www.liepin.com/job/1926431183.shtml	https://www.liepin.com/company/7938535/
23	大专及以上	3年以上	5-7k·15薪	2020年04月10日	销售主任-杭州	杭州-城东	景兴健护	https://www.liepin.com/job/1926414939.shtml	https://www.liepin.com/company/5774439/
24	统招本科	5年以上	面议	2020年04月10日	战略发展经理	广州	珠江投资广东	https://www.liepin.com/job/1926197547.shtml	https://www.liepin.com/company/2039494/
25	本科及以上	1年以上	11-15k·14薪	2020年04月10日	嵌入式软件设计师	广州-黄埔区	海格通信广州公司	https://www.liepin.com/job/1926159803.shtml	https://www.liepin.com/company/8840878/
26	本科及以上	5年以上	12-18k·12薪	2020年04月10日	市场策划经理	广州-海珠区	美环健芦荟制品	https://www.liepin.com/job/1926037459.shtml	https://www.liepin.com/company/7894719/
27	统招本科	2年以上	面议	2020年04月10日	控制器应用软件开发	上海	重塑能源	https://www.liepin.com/job/1926010111.shtml	https://www.liepin.com/company/8864326/
28	统招本科	经验不限	8-12k·12薪	2020年04月10日	电商推广专员	北京	北京格力电子商务有限公司	https://www.liepin.com/job/1925936613.shtml	https://www.liepin.com/company/12140829/
29	大专及以上	5年以上	10-15k·12薪	2020年04月10日	服装设计总监	青岛-市南区	青岛锦天丽达国际贸易有限公司	https://www.liepin.com/job/1925881189.shtml	https://www.liepin.com/company/9438395/
30	本科及以上	5年以上	6-9k·12薪	2020年04月10日	设备工程师	淮安-盱眙县	广州明美新能源有限公司	https://www.liepin.com/job/1925672819.shtml	https://www.liepin.com/company/8980307/
31	统招本科	2年以上	7-15k·13薪	2020年04月10日	公共事务岗	广州-珠江新城	泛华金融服务集团	https://www.liepin.com/job/1925630445.shtml	https://www.liepin.com/company/1107771/
32	本科及以上	3年以上	30-60k·15薪	2020年04月10日	资深数字后端工程师	上海-浦东新区	上海寒武纪信息科技有限公司	https://www.liepin.com/job/1925618729.shtml	https://www.liepin.com/company/9320629/
33	大专及以上	3年以上	7-8k·15薪	2020年04月10日	促销主任	成都-桂溪	景兴健护	https://www.liepin.com/job/1925343893.shtml	https://www.liepin.com/company/5774439/
34	大专及以上	5年以上	8-10k·12薪	2020年04月10日	成本预算工程师（河南省内调配）	郑州-中原区	河南鼎岳建筑工程有限公司	https://www.liepin.com/job/1924549005.shtml	https://www.liepin.com/company/9773217/
35	大专及以上	经验不限	6-8k·12薪	2020年04月10日	新媒体文案		中视金鑫国际广告(北京)有限公司	https://www.liepin.com/job/1924154781.shtml	https://www.liepin.com/company/7897596/
36	本科及以上	3年以上	面议	2020年04月10日	电子工程师（控制）	南京-江宁区	光宝科技(上海)有限公司	https://www.liepin.com/job/1923965431.shtml	https://www.liepin.com/company/9216739/
37	本科及以上	3年以上	15-24k·12薪	2020年04月10日	医疗信息化咨询项目经理	广州-五山	广东省电信规划设计院有限公司	https://www.liepin.com/job/1922918689.shtml	https://www.liepin.com/company/9493174/
38	大专及以上	3年以上	7-15k·12薪	2020年04月10日	财富规划师	太原-坞城	上海钜派投资集团	https://www.liepin.com/job/1922878753.shtml	https://www.liepin.com/company/8439723/
39	大专及以上	2年以上	9-11k·15薪	2020年04月10日	新零售主管	深圳-人民南	景兴健护	https://www.liepin.com/job/1922103097.shtml	https://www.liepin.com/company/5774439/
